,URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
0,Netclan20241017,https://insights.blackcoffer.com/ai-and-ml-based-youtube-analytics-and-content-creation-tool-for-optimizing-subscriber-engagement-and-content-strategy/,6.0,0,0.9999998333333611,0.0188087773705054,13.421052631578947,0.5607843137254902,5.592734778121775,13.421052631578947,143.0,255.0,3.064777327935223,2.0,8.062745098039215
1,Netclan20241018,https://insights.blackcoffer.com/enhancing-front-end-features-and-functionality-for-improved-user-experience-and-dashboard-accuracy-in-partner-hospital-application/,13.0,7,0.29999998500000075,0.03053435109842084,12.16326530612245,0.4546979865771812,5.047185317079853,12.16326530612245,271.0,589.0,2.6427350427350427,8.0,7.191850594227504
2,Netclan20241019,https://insights.blackcoffer.com/roas-dashboard-for-campaign-wise-google-ads-budget-tracking-using-google-ads-ap/,12.0,2,0.7142856632653098,0.04034582120937804,13.380952380952381,0.5658362989323843,5.578715471953906,13.380952380952381,159.0,281.0,3.0437956204379564,2.0,8.00711743772242
3,Netclan20241020,https://insights.blackcoffer.com/efficient-processing-and-analysis-of-financial-data-from-pdf-files-addressing-formatting-inconsistencies-and-ensuring-data-integrity-for-a-toyota-dealership-management-firm/,23.0,10,0.3939393820018369,0.05641025631382862,12.974358974358974,0.6442687747035574,5.447451099625013,12.974358974358974,326.0,506.0,3.1358024691358026,4.0,8.353754940711463
4,Netclan20241021,https://insights.blackcoffer.com/development-of-ea-robot-for-automated-trading/,5.0,0,0.99999980000004,0.01597444084353214,12.75,0.5254901960784314,5.310196078431373,12.75,134.0,255.0,3.070539419087137,2.0,8.035294117647059
5,Netclan20241022,https://insights.blackcoffer.com/ai-and-ml-based-youtube-analytics-and-content-creation-tool-for-optimizing-subscriber-engagement-and-content-strategy/,6.0,0,0.9999998333333611,0.0188087773705054,13.421052631578947,0.5607843137254902,5.592734778121775,13.421052631578947,143.0,255.0,3.064777327935223,2.0,8.062745098039215
6,Netclan20241023,https://insights.blackcoffer.com/enhancing-front-end-features-and-functionality-for-improved-user-experience-and-dashboard-accuracy-in-partner-hospital-application/,13.0,7,0.29999998500000075,0.03053435109842084,12.16326530612245,0.4546979865771812,5.047185317079853,12.16326530612245,271.0,589.0,2.6427350427350427,8.0,7.191850594227504
8,Netclan20241025,https://insights.blackcoffer.com/efficient-processing-and-analysis-of-financial-data-from-pdf-files-addressing-formatting-inconsistencies-and-ensuring-data-integrity-for-a-toyota-dealership-management-firm/,12.0,2,0.7142856632653098,0.04034582120937804,13.380952380952381,0.5658362989323843,5.578715471953906,13.380952380952381,159.0,281.0,3.0437956204379564,2.0,8.00711743772242
9,Netclan20241026,https://insights.blackcoffer.com/transforming-and-managing-a-large-scale-sql-pedigree-database-to-neo4j-graph-db/,23.0,10,0.3939393820018369,0.05641025631382862,12.974358974358974,0.6442687747035574,5.447451099625013,12.974358974358974,326.0,506.0,3.1358024691358026,4.0,8.353754940711463
10,Netclan20241027,https://insights.blackcoffer.com/enhancing-model-accuracy-from-58-to-over-90-strategies-for-improving-predictive-performance/,57.0,16,0.5616438279226873,0.04879679141123209,10.55084745762712,0.6240963855421687,4.469977537267716,10.55084745762712,777.0,1244.0,3.1080196399345335,2.0,8.107717041800644
11,Netclan20241028,https://insights.blackcoffer.com/securing-sensitive-financial-data-with-privacy-preserving-machine-learning-for-predictive-analytics/,21.0,6,0.5555555349794246,0.05252918277718058,11.694444444444445,0.6389548693586699,4.933359725521246,11.694444444444445,269.0,421.0,3.2211302211302213,2.0,8.415676959619953
12,Netclan20241029,https://insights.blackcoffer.com/enhancing-data-collection-for-research-institutions-addressing-survey-fatigue-and-incorporating-verbal-communication-for-richer-insights/,27.0,2,0.8620689357907263,0.045454545383300085,13.05,0.6781609195402298,5.491264367816092,13.05,354.0,522.0,3.295145631067961,3.0,8.793103448275861
13,Netclan20241030,https://insights.blackcoffer.com/analyzing-the-impact-of-positive-emotions-and-pandemic-severity-on-mental-health-and-resilience-among-entrepreneurs-insights-and-predictive-modeling/,21.0,5,0.6153845917159773,0.05485232055938329,10.857142857142858,0.631578947368421,4.595488721804512,10.857142857142858,240.0,380.0,3.252688172043011,4.0,8.93421052631579
14,Netclan20241031,https://insights.blackcoffer.com/dynamic-brand-centric-dashboard-for-automotive-dealerships-pdf-to-financial-insights-with-flask-react-architecture-and-aws-cloud-hosting/,16.0,5,0.5238094988662143,0.04555314523741183,12.566666666666666,0.623342175066313,5.276003536693192,12.566666666666666,235.0,377.0,3.2054054054054055,3.0,8.639257294429708
15,Netclan20241032,https://insights.blackcoffer.com/cloud-based-data-modeling-and-analysis-platform-with-drag-and-drop-interface-and-openai-api-integration-for-simulation-insights/,60.0,21,0.4814814755372657,0.07264573984516076,11.8375,0.5881731784582893,4.970269271383316,11.8375,557.0,947.0,3.132972972972973,4.0,8.422386483632524
16,Netclan20241033,https://insights.blackcoffer.com/voter-profile-analysis-and-search-application-for-targeted-campaign-engagement-using-government-voter-data/,10.0,1,0.8181817438016598,0.026699029061410123,11.166666666666666,0.5522388059701493,4.687562189054726,11.166666666666666,185.0,335.0,3.0092024539877302,2.0,7.967164179104477
17,Netclan20241034,https://insights.blackcoffer.com/bert-based-classification-of-individuals-and-organizations-into-two-categories-using-natural-language-processing/,42.0,6,0.7499999843750004,0.06258148622870732,13.12,0.6158536585365854,5.494341463414634,13.12,404.0,656.0,3.088098918083462,8.0,8.202743902439025
18,Netclan20241035,https://insights.blackcoffer.com/comprehensive-analysis-of-solana-and-ethereum-contributors-using-github-api-with-comparative-study-of-1000-random-github-profiles/,8.0,3,0.4545454132231443,0.034700315347948534,9.592592592592593,0.5714285714285714,4.065608465608466,9.592592592592593,148.0,259.0,3.25,3.0,8.71042471042471
19,Netclan20241036,https://insights.blackcoffer.com/powerbi-rest-api-fetching-dataflow-and-refresh-schedules-with-semantic-models/,16.0,5,0.5238094988662143,0.04183266923937715,13.172413793103448,0.5942408376963351,5.506661852319914,13.172413793103448,227.0,382.0,3.283333333333333,4.0,8.657068062827225
21,Netclan20241038,https://insights.blackcoffer.com/data-analytics-and-optimization-solution-for-enhancing-renewable-energy-efficiency/,22.0,7,0.5172413614744358,0.06473214271265147,10.636363636363637,0.6068376068376068,4.497280497280498,10.636363636363637,213.0,351.0,3.13953488372093,2.0,8.467236467236468
22,Netclan20241039,https://insights.blackcoffer.com/time-series-analysis-and-trend-forecasting-solution-for-predicting-news-trends/,14.0,1,0.8666666088888928,0.039370078636823944,9.647058823529411,0.5365853658536586,4.073457675753228,9.647058823529411,176.0,328.0,2.884735202492212,2.0,7.603658536585366
23,Netclan20241040,https://insights.blackcoffer.com/advanced-data-visualization-solutions-for-monitoring-key-business-metrics-with-integrated-interactive-dashboards/,11.0,2,0.6923076390532585,0.03249999991875,10.117647058823529,0.5872093023255814,4.281942544459644,10.117647058823529,202.0,344.0,3.065281899109792,2.0,8.061046511627907
24,Netclan20241041,https://insights.blackcoffer.com/advanced-patient-data-analysis-solution-for-trend-identification-and-improved-healthcare-outcome/,12.0,2,0.7142856632653098,0.03589743580539119,10.121212121212121,0.5389221556886228,4.264053710760297,10.121212121212121,180.0,334.0,2.8960244648318043,2.0,7.817365269461078
25,Netclan20241042,https://insights.blackcoffer.com/anomaly-detection-and-analysis-for-enhanced-data-integrity-and-user-experience-on-bright-datas-website/,18.0,1,0.8947367950138528,0.04922279779994094,9.676470588235293,0.6322188449848024,4.123475773288038,9.676470588235293,208.0,329.0,3.1335403726708075,2.0,8.151975683890578
26,Netclan20241043,https://insights.blackcoffer.com/building-custom-tflite-models-and-benchmarking-on-voxl2-chips/,20.0,2,0.8181817809917372,0.05670103078169837,9.941176470588236,0.6035502958579881,4.21789070657849,9.941176470588236,204.0,338.0,3.084848484848485,2.0,8.062130177514794
